dimension;identifier;desc_eng;details_eng;desc_swe;details_swe
Byggdelar;33D;Railway equipment;;Bangårdsutrustningar;
Byggdelar;33DB;Stop blocks;;Stoppbockar;
Byggdelar;33DBB;Additive elements for stop block;;Tillsatselement till stoppbock;
Byggdelar;33DBF;Stop buck fixed;;Stoppbock fast;
Byggdelar;33DBG;Sliding stop block;;Stoppbock glidbar;
Byggdelar;33DC;Trolley scales;;Vagnvågar;
Byggdelar;33DD;Ranger brakes;;Rangerbromsar;
Byggdelar;33DE;Obstacle posts;;Hinderpålar;
Byggdelar;33DF;Turntables;;Vändskivor;
Byggdelar;33DG;Track barriers;;Spårspärrar;
Byggdelar;33DH;Cranes;;Kranar;
Byggdelar;33DJ;Wagon scales (change to vehicle scales);;Vagnvågar (byt till Fordonsvåg);
Byggdelar;33DK;Load templates;;Lastmallar;
Byggdelar;33DL;Coil plates;;Spolplattor;
Byggdelar;4;ROOM-FORMING COMPONENTS, HOUSE COMPLETIONS, FINISHES AND ROOM COMPLETIONS;;RUMSBILDANDE BYGGDELAR, HUSKOMPLETTERINGAR, YTSKIKT OCH RUMSKOMPLETTERINGAR;
Byggdelar;40;COMPOUND SPACE-FORMING COMPONENTS, BUILDING COMPLETIONS, FINISHES AND ROOM COMPLETIONS;;SAMMANSATTA RUMSBILDANDE BYGGDELAR, HUSKOMPLETTERINGAR, YTSKIKT OCH RUMSKOMPLETTERINGAR;
Byggdelar;41;CLIMATE SEPARATING ELEMENTS AND ADDITIONS TO EXTERNAL ROOFS AND BEAMS;;KLIMATSKILJANDE DELAR OCH KOMPLETTERINGAR I YTTERTAK OCH YTTERBJÄLKLAG;
Byggdelar;41A;Compound elements for climate separation and completion of external roofs and beams;;Sammansatta klimatskiljande delar och kompletteringar i yttertak och ytterbjälklag;
Byggdelar;41B;Supplementary supporting structures in external ceilings;;Kompletterande bärverk i yttertak;
Byggdelar;41C;External climate screens in external ceilings and beams;;Ytterklimatskärmar i yttertak och ytterbjälklag;
Byggdelar;41D;Internal air-conditioning screens in external roofs and beams;;Innerklimatskärmar i yttertak och ytterbjälklag;
Byggdelar;41E;Opening completions in external roofs and beams;;Öppningskompletteringar i yttertak och ytterbjälklag;
Byggdelar;41EB;Skylights;;Takfönster;
Byggdelar;41EC;Roof light domes;;Takljuskupoler;
Byggdelar;41ED;Lanterns;;Lanterniner;
Byggdelar;41EE;Light panels;;Ljuspaneler;
Byggdelar;41EF;Fire gas ventilator;;Brandgasventilator;
Byggdelar;41EG;Shutters;;Takluckor;
Byggdelar;41EH;Movable ceilings;;Rörliga tak;
Byggdelar;41F;Complements to external roofs and beams;;Kompletteringar till yttertak och ytterbjälklag;
Byggdelar;41FB;External drainage systems from external roofs and beams;;Utvändiga avvattningssystem från yttertak och ytterbjälklag;
Byggdelar;41FC;Internal drainage systems from external roofs and beams;;Invändiga avvattningssystem från yttertak och ytterbjälklag;
Byggdelar;41FD;Safety devices on external roofs and beams;;Säkerhetsanordningar på yttertak och ytterbjälklag;
Byggdelar;41FE;Access devices on external roofs and beams;;Tillträdesanordningar på yttertak och ytterbjälklag;
Byggdelar;41FY;Miscellaneous accessories for external roofs and beams;;Diverse kompletteringar till yttertak och ytterbjälklag;
Byggdelar;41Z;Other components and fittings for external roofs and beams;;Övriga klimatskiljande delar och kompletteringar i yttertak och ytterbjälklag;
Byggdelar;42;CLIMATE SEPARATING ELEMENTS AND ADDITIONS IN EXTERNAL WALL;;KLIMATSKILJANDE DELAR OCH KOMPLETTERINGAR I YTTERVÄGG;
Byggdelar;42A;Compound elements and additions to external wall;;Sammansatta klimatskiljande delar och kompletteringar i yttervägg;
Byggdelar;42B;External air-conditioning screens in external wall;;Ytterklimatskärmar i yttervägg;
Byggdelar;42C;Internal air-conditioning screens in external wall;;Innerklimatskärmar i yttervägg;
Byggdelar;42D;Opening extensions in external wall;;Öppningskompletteringar i yttervägg;
Byggdelar;42DB;Windows;;Fönster;
Byggdelar;42DC;Window parts, climate separating;;Fönsterpartier, klimatavskiljande;
Byggdelar;42DD;Wall sections, climate separating;;Väggpartier, klimatavskiljande;
Byggdelar;42DE;External doors;;Ytterdörrar;
Byggdelar;42DF;Doors;;Portar;
Byggdelar;42E;External wall extensions;;Ytterväggskompletteringar;
Byggdelar;42Z;Other climate separating elements and additions to external walls;;Övriga klimatskiljande delar och kompletteringar i yttervägg;
Byggdelar;43;INTERNAL SPACE-FORMING BUILDING ELEMENTS;;INRE RUMSBILDANDE BYGGDELAR;
Byggdelar;43A;Compound internal space-forming components;;Sammansatta inre rumsbildande byggdelar;
Byggdelar;43B;Supplementary wall constructions;;Kompletterande väggkonstruktioner;
Byggdelar;43C;Internal walls (excluding internal cavity walls) and opening completions;;Innerväggar (ej stominnerväggar) och öppningskompletteringar;
Byggdelar;43CA;Compound internal walls;;Innerväggar, sammansatta;
Byggdelar;43CB;Internal walls (excluding internal cavity walls);;Innerväggar (ej stominnerväggar);
Byggdelar;43CC;Opening extensions in internal walls;;Öppningskompletteringar i innervägg;
Byggdelar;43CCD;Wall sections;;Väggpartier;
Byggdelar;43CCE;Internal doors;;Innerdörrar;
Byggdelar;43CCF;Doors;;Portar;
Byggdelar;43D;Beam superstructures and opening extensions;;Bjälklagsöverbyggnader och öppningskompletteringar;
Byggdelar;43DA;Compound  beam superstructures and opening extensions;;Sammansatta bjälklagsöverbyggnader och öppningskompletteringar;
Byggdelar;43DB;Floors;;Golv;
Byggdelar;43DC;Subfloors;;Undergolv;
Byggdelar;43DD;Protective coatings;;Skyddsbeläggningar;
Byggdelar;43DE;Opening extensions in joists;;Öppningskompletteringar i bjälklag;
Byggdelar;43DEG;Shutters;;Luckor;
Byggdelar;43E;Ceilings;;Innertak;
Byggdelar;43Z;Other internal components;;Övriga inre rumsbildande byggdelar;
Byggdelar;44;INTERNAL FINISHES;;INVÄNDIGA YTSKIKT;
Byggdelar;44A;Compound internal finishes;;Sammansatta invändiga ytskikt;
Byggdelar;44B;Floor and stair finishes;;Ytskikt på golv och trappor;
Byggdelar;44BB;Floor finishes;;Ytskikt på golv;
Byggdelar;44BC;Finishes on stairs;;Ytskikt på trappor;
Byggdelar;44C;Wall finishes;;Ytskikt på väggar;
Byggdelar;44D;Ceiling finishes;;Ytskikt på innertak;
Byggdelar;44Z;Other internal finishes;;Övriga invändiga ytskikt;
Byggdelar;45;HOUSE EXTENSIONS;;HUSKOMPLETTERINGAR;
Byggdelar;45A;Compound building extensions;;Sammansatta huskompletteringar;
Byggdelar;45B;Exterior building completions;;Utvändiga huskompletteringar;
Byggdelar;45BB;Balconies;;Balkonger;
Byggdelar;45BC;Loft corridors;;Loftgångar;
Byggdelar;45BD;Sheltered roofs;;Skärmtak;
Byggdelar;45BE;Entrance stairs;;Entrétrappor;
Byggdelar;45BF;Facade ladders;;Fasadstegar;
Byggdelar;45BG;Skylights;;Vindskupor;
Byggdelar;45BH;Ramps;;Ramper;
Byggdelar;45BY;Miscellaneous building extensions;;Diverse huskompletteringar;
Byggdelar;45C;Internal building extensions;;Invändiga huskompletteringar;
Byggdelar;45CB;Internal staircases;;Invändiga trappor;
Byggdelar;45Z;Other building extensions;;Övriga huskompletteringar;
Byggdelar;46;ROOM EXTENSIONS;;RUMSKOMPLETTERINGAR;
Byggdelar;46A;Compound room extensions;;Sammansatta rumskompletteringar;
Byggdelar;46B;Interiors;;Inredningar;
Byggdelar;46C;Equipment;;Utrustningar;
Byggdelar;46Z;Other room extensions;;Övriga rumskompletteringar;
Byggdelar;49;OTHER ROOM-FORMING COMPONENTS, BUILDING EXTENSIONS, FINISHES AND ROOM EXTENSIONS;;ÖVRIGA RUMSBILDANDE BYGGDELAR, HUSKOMPLETTERINGAR, YTSKIKT OCH RUMSKOMPLETTERINGAR;
Byggdelar;49B;Shaft in buildings;;Schackt i hus;
Byggdelar;5;PLUMBING, HEATING, COOLING AND PROCESS MEDIA SYSTEMS;;VA-, VVS-, KYL- OCH PROCESSMEDIESYSTEM;
Byggdelar;51;WATER, SEWAGE, DISTRICT HEATING AND GAS PIPING SYSTEMS, ETC., PLANT;;VATTEN-, AVLOPPS-, FJÄRRVÄRME- OCH GASLEDNINGSSYSTEM M M, ANLÄGGNING;
Byggdelar;51B;Water supply piping systems;;Vattenledningssystem;
Byggdelar;51C;Sewage piping systems;;Avloppsledningssystem;
Byggdelar;51CB;Wastewater system;;Spillvattensystem;
Byggdelar;51CC;Stormwater system;;Dagvattensystem;
Byggdelar;51CD;Drainage water system;;Dränvattensystem;
Byggdelar;51D;Piping system for district heating;;Ledningssystem för fjärrvärme;
Byggdelar;51E;Piping system for district cooling;;Ledningssystem för fjärrkyla;
Byggdelar;51F;Piping system for energy gas;;Ledningssystem för energigas;
Byggdelar;51G;Piping system for oil and fuel;;Ledningssystem för olja och drivmedel;
Byggdelar;51H;Piping system for tunnel;;Ledningssystem för tunnel;
Byggdelar;51HB;Tunnel waste water system;;Spillvattensystem för tunnel;
Byggdelar;51HC;Tunnel storm water system;;Dagvattensystem för tunnel;
Byggdelar;51HD;Tunnel drainage system;;Dränvattensystem för tunnel;
Byggdelar;51J;Piping system for bridge;;Ledningssystem för bro;
Byggdelar;52;LIQUID OR GASEOUS MEDIUM SUPPLY SYSTEM;;FÖRSÖRJNINGSSYSTEM FÖR FLYTANDE ELLER GASFORMIGT MEDIUM;
Byggdelar;52B;Tap water system;;Tappvattensystem;
Byggdelar;52BB;Cold water system;;Kallvattensystem;
Byggdelar;52BC;Hot water system;;Varmvattensystem;
Byggdelar;52D;Process water system;;Processvattensystem;
Byggdelar;52E;Steam system;;Ångsystem;
Byggdelar;52F;Compressed air system;;Tryckluftssystem;
Byggdelar;52FB;Compressed air systems without special purity requirements;;Tryckluftssystem utan särskilt krav på renhet;
Byggdelar;52FC;Compressed air systems with special purity requirements;;Tryckluftssystem med särskilt krav på renhet;
Byggdelar;52G;Vacuum systems;;Vakuumsystem;
Byggdelar;52H;Gas systems;;Gassystem;
Byggdelar;52HB;Medical gas systems;;System för medicinsk gas;
Byggdelar;52HC;Industrial gas systems;;Industrigassystem;
Byggdelar;52HD;Energy gas systems;;Energigassystem;
Byggdelar;52HDB;Natural gas systems;;Naturgassystem;
Byggdelar;52HDC;City gas systems;;Stadsgassystem;
Byggdelar;52HDD;LPG systems;;Gasolsystem;
Byggdelar;52HDE;Biogas system;;Biogassystem;
Byggdelar;52HE;Special gas system;;Specialgassystem;
Byggdelar;52HEB;High purity gas systems;;System för högrena gaser;
Byggdelar;52HEC;Cryogenic gas systems;;Kryogassystem;
Byggdelar;52J;Oil and fuel systems;;Olje- och drivmedelssystem;
Byggdelar;53;WASTEWATER AND PNEUMATIC WASTE TRANSPORT SYSTEMS ETC.;;AVLOPPSVATTENSYSTEM OCH PNEUMATISKA AVFALLSTRANSPORTSYSTEM E D;
Byggdelar;53B;Sewage systems;;Avloppsvattensystem;
Byggdelar;53BB;Wastewater systems;;Spillvattensystem;
Byggdelar;53BBB;Normal wastewater systems;;Normalspillvattensystem;
Byggdelar;53BBC;Process wastewater systems;;Processpillvattensystem;
Byggdelar;53BBD;Hazardous wastewater system;;Riskspillvattensystem;
Byggdelar;53BC;Stormwater system;;Dagvattensystem;
Byggdelar;53C;Garbage and vacuum system;;Sop- och dammsugningssystem;
Byggdelar;53CB;Sewage collection system;;Sopsugningssystem;
Byggdelar;53CC;Vacuum cleaning system;;Dammsugningssystem;
Byggdelar;53D;Suction systems for industrial processes;;Sugsystem för industriella processer;
Byggdelar;53E;Laundry suction systems;;Tvättsugningssystem;
Byggdelar;54;FIRE EXTINGUISHING SYSTEMS;;BRANDSLÄCKNINGSSYSTEM;
Byggdelar;54A;Compound extinguishing systems;;Sammansatta släcksystem;
Byggdelar;54B;Water extinguishing systems;;Vattensläcksystem;
Byggdelar;54C;Foam extinguishing systems;;Skumsläcksystem;
Byggdelar;54D;Gas extinguishing systems;;Gassläcksystem;
Byggdelar;55;COOLING SYSTEMS;;KYLSYSTEM;
Byggdelar;55B;Refrigerant system;;Köldmediesystem;
Byggdelar;55C;Refrigerant system;;Köldbärarsystem;
Byggdelar;55D;Refrigerant system;;Kylmedelsystem;
Byggdelar;55E;Heat carrier system;;Värmebärarsystem;
Byggdelar;55F;Recovery system;;Återvinningssystem;
Byggdelar;56;HEATING SYSTEMS;;VÄRMESYSTEM;
Byggdelar;56B;Heating water system;;Värmevattensystem;
Byggdelar;56C;Steam heating system;;Ångvärmesystem;
Byggdelar;56D;Hot oil heating system;;Hetoljevärmesystem;
Byggdelar;57;AIR TREATMENT SYSTEMS;;LUFTBEHANDLINGSSYSTEM;
Byggdelar;57B;General ventilation systems;;Allmänventilationssystem;
Byggdelar;57C;Process ventilation systems;;Processventilationssystem;
Byggdelar;57CB;Protective ventilation systems;;Skyddsventilationssystem;
Byggdelar;57F;Air heating systems;;Luftvärmesystem;
Byggdelar;6;ELECTRICAL AND TELECOMMUNICATIONS SYSTEMS;;EL- OCH TELESYSTEM;
Byggdelar;61;DUCTING AND PIPING SYSTEMS;;KANALISATIONS- OCH FÖRLÄGGNINGSSYSTEM;
Byggdelar;61C;Poles, etc.;;Stolpar m m;
Byggdelar;61CB;Poles for pipes;;Stolpar för ledningar;
Byggdelar;61CBB;Poles for power and telecommunications lines;;Stolpar för kraftledningar och teleledningar;
Byggdelar;61CBC;Electricity contact line poles;;Kontaktledningsstolpar;
Byggdelar;61CC;Lighting poles and masts;;Stolpar och master för belysning;
Byggdelar;61CCB;Poles and masts for road lighting etc.;;Stolpar och master för vägbelysning e d;
Byggdelar;61CCC;Lighting poles for sports facilities, industrial plants, etc.;;Belysningsmaster i sportanläggning, industrianläggning e d;
Byggdelar;61CCD;Poles and masts for track lighting, etc.;;Stolpar och master för spårområdesbelysning e d;
Byggdelar;61CD;Brace material etc. for poles etc.;;Stagmaterial m m till stolpar e d;
Byggdelar;61CDB;Brace material for poles for power and telecommunications lines;;Stagmateriel till stolpar för kraftledningar och teleledningar;
Byggdelar;61CDC;Brace material for for poles, etc. for lighting fittings;;Stagmateriel till stolpar e d för ljusarmaturer;
Byggdelar;61CDD;Brace material and accessories for electricity contact line poles;;Stagmateriel och tillbehör till kontaktledningsstolpar;
Byggdelar;61CDDB;Braces for electricity contact lines;;Stag till kontaktledningsstolpar;
Byggdelar;61CDDC;Struts for electricity contact line poles;;Strävor till kontaktledningsstolpar;
Byggdelar;61CDDD;Pole extensions for electricity contact line poles;;Stolpförlängare till kontaktledningsstolpar;
Byggdelar;61CDDE;Safety nets for electricity contact line poles;;Skyddsnät till kontaktledningsstolpar;
Byggdelar;61CE;Pole brackets, fitting crowns, etc. for lighting poles;;Stolparmar, armaturkronor m m till belysningsstolpar e d;
Byggdelar;61CEB;Pole brackets;;Stolparmar;
Byggdelar;61CEC;Fitting crowns for lighting poles, etc.;;Armaturkronor till belysningsstolpar e d;
Byggdelar;61CED;Pole inserts;;Stolpinsatser;
Byggdelar;61CF;Electricity contact line bridges;;Kontaktledningsbryggor;
Byggdelar;61CG;Miscellaneous poles, etc.;;Diverse stolpar m m;
Byggdelar;61CGB;Poles for traffic control systems;;Stolpar för trafikstyrande system;
Byggdelar;61CGC;Poles for car heating sockets;;Stolpar till bilvärmaruttag;
Byggdelar;61CGD;Poles for signs in electrical systems;;Stolpar till skyltar i elsystem;
Byggdelar;61CGE;Cable marking posts;;Kabelmarkeringspålar;
Byggdelar;61D;Cable ladders, cable trays, cage rails, etc.;;Kabelstegar, kabelrännor, bärskenor o d;
Byggdelar;61DB;Cable ladders and wire ladders;;Kabelstegar och trådstegar;
Byggdelar;61DC;Cable trays;;Kabelrännor;
Byggdelar;61DCB;Light fitting trays;;Ljusarmaturrännor;
Byggdelar;61DCC;Multi-compartment cable trays;;Flerfackskabelrännor;
Byggdelar;61DD;Carrier wire and high voltage wire;;Bärtråd och bärlinor;
Byggdelar;61DDL;High voltage wire;;Bärlina;
Byggdelar;61DDT;High voltage wire;;Bärtråd;
Byggdelar;61DE;Installation cable clamps;;Skenor för installationskabel;
Byggdelar;61DF;Cable conduit;;Kabelrör;
Byggdelar;61E;Boxes;;Dosor;
Byggdelar;61EB;Junction boxes;;Anslutningsdosor;
Byggdelar;61EC;Device boxes;;Apparatdosor;
Byggdelar;61ED;Junction boxes for cables in electrical power systems;;Kopplingsdosor för kablar i elkraftsystem;
Byggdelar;61EE;Junction boxes for cables in telecommunications systems;;Kopplingsdosor för kablar i telesystem;
Byggdelar;61F;Duct systems;;Kanalsystem;
Byggdelar;61FB;Electricity systems;;Ellistsystem;
Byggdelar;61FC;Floor duct systems;;Golvkanalsystem;
Byggdelar;61FD;Duct systems;;Installationskanalsystem;
Byggdelar;61FE;Care room panels;;Vårdrumspaneler;
Byggdelar;61FF;Electrical duct systems;;Elkanalsystem;
Byggdelar;61G;Outlet rods and boxes;;Uttagsstavar och uttagsboxar;
Byggdelar;61GB;Outlet rods;;Uttagsstavar;
Byggdelar;61GC;Outlet boxes;;Uttagsboxar;
Byggdelar;61GD;Outlet panels;;Uttagspaneler;
Byggdelar;61GE;Furniture integrated boxes;;Möbelintegrerade boxar;
Byggdelar;61GF;Media panels;;Mediapaneler;
Byggdelar;61GH;Floor boxes;;Golvboxar;
Byggdelar;61H;Device boxes, junction boxes, etc.;;Apparatlådor, kopplingsboxar m m;
Byggdelar;61HB;Device boxes;;Apparatlådor;
Byggdelar;61HC;Junction boxes;;Kopplingsboxar;
Byggdelar;61HD;Mounting frames;;Monteringsramar;
Byggdelar;61J;Cable glands;;Kabelgenomföringar;
Byggdelar;61JB;Cable glands in walls or beams;;Kabelgenomföringar i vägg eller bjälklag;
Byggdelar;61JBB;Gastight cable glands in walls or ceilings;;Gastäta kabelgenomföringar i vägg eller bjälklag;
Byggdelar;61JBC;Shielded cable glands in wall or ceiling;;Skärmande kabelgenomföringar i vägg eller bjälklag;
Byggdelar;61JBD;Fire separating cable glands in walls or beams;;Brandavskiljande kabelgenomföringar i vägg eller bjälklag;
Byggdelar;61JBE;Miscellaneous cable glands in walls or beams;;Diverse kabelgenomföringar i vägg eller bjälklag;
Byggdelar;61K;Stands;;Stativ;
Byggdelar;61KB;Stands for electrical equipment;;Stativ för elutrustning;
Byggdelar;61KC;Stands for telecommunications equipment;;Stativ för teleutrustning;
Byggdelar;61L;Fixings for devices, electrical and telecommunications cables, conductors, etc.;;Fästdon för apparater, el- och telekablar, ledare m m;
Byggdelar;61LB;Fixings for devices, electric and telecommunication cables, conductors, etc. in buildings;;Fästdon för apparater, el- och telekablar, ledare m m i hus;
Byggdelar;61LBB;Fixings for devices;;Fästdon för apparater;
Byggdelar;61LBC;Fittings for electrical and telecommunications cables, conduits, etc.;;Fästdon för el- och telekablar, elinstallationsrör o d;
Byggdelar;61LBCC;Abstain;;Avhåll;
Byggdelar;61LBCE;Floating contact wire crossings;;Svävande kontakttrådskrydd;
Byggdelar;61LBCF;Suspensions for contact rail;;Upphängningar för kontaktskena;
Byggdelar;61LC;Tensioning and anchoring devices;;Avspänningar och förankringar;
Byggdelar;61LCB;Suspension devices;;Upphängningsanordningar;
Byggdelar;61LCBB;Outriggers;;Utliggare;
Byggdelar;61LCBD;Riders;;Ryttare;
Byggdelar;61LCC;Electrivity diversion devices;;Avspänningsanordningar;
Byggdelar;61LCD;Anchorage point;;Förankringspunkt;
Byggdelar;61M;Manholes for electrical conduits;;Brunnar för elkanalisation;
Byggdelar;61MB;Manholes in buildings;;Dragbrunnar i hus;
Byggdelar;61N;Cable protection and marking;;Kabelskydd och kabelmarkeringar;
Byggdelar;61NB;Cable protection;;Kabelskydd;
Byggdelar;61NC;Cable markings;;Kabelmarkeringar;
Byggdelar;61Q;Ducting of electrical installation pipes, flex pipes, etc.;;Kanalisation av elinstallationsrör, flexrör e d;
Byggdelar;61QB;Surface mounted electrical conduit;;Ytmonterade elinstallationsrör;
Byggdelar;61QC;Recessed electrical conduit;;Infällda elinstallationsrör;
Byggdelar;61QD;Electrical conduit in ducting systems;;Elinstallationsrör i ledningskanalsystem;
Byggdelar;61QE;Electrical conduit on cable ladders, cable trays, etc.;;Elinstallationsrör på kabelstege, kabelränna e d;
Byggdelar;61R;Supporting structures for electrical contact line systems;;Bärverk för kontaktledningsssystem;
Byggdelar;61RB;Electrical contact line bridges;;Kontaktledningsbryggor;
Byggdelar;61RC;Suspended structures;;Hängverk;
Byggdelar;62;COMMON COMPONENTS OF POWER SYSTEMS, TELECOMMUNICATION SYSTEMS AND SYSTEMS FOR VOLTAGE EQUALISATION AND ELECTRICAL SEPARATION;;GEMENSAMMA KOMPONENTER I ELKRAFTSYSTEM, TELESYSTEM OCH SYSTEM FÖR SPÄNNINGSUTJÄMNING OCH ELEKTRISK SEPARATION;
Byggdelar;62C;Electricity and telecommunications cables, etc.;;El- och telekablar m m;
Byggdelar;62CA;Compound cables;;Kablar av sammansatt typ;
Byggdelar;62CB;Power cables;;Kraftkablar;
Byggdelar;62CC;Installation cables;;Installationskablar;
Byggdelar;62CD;Flexible cables for electric power;;Flexibla kablar för elkraft;
Byggdelar;62CE;Special cables for electric power;;Specialkablar för elkraft;
Byggdelar;62CF;Telecommunications and data cables;;Tele- och datakablar;
Byggdelar;62CG;Fire alarm cables;;Brandlarmskablar;
Byggdelar;62CH;Coaxial cables;;Koaxialkablar;
Byggdelar;62CJ;Fibre optic cables;;Fiberoptiska kablar;
Byggdelar;62CK;Connecting cables for telecommunications and data equipment;;Anslutningskablar för tele- och datautrustning;
Byggdelar;62CL;Special cables for telecommunications and data equipment;;Specialkablar för tele- och datautrustning;
Byggdelar;62CM;Cables for control, measurement and indication;;Kablar för styrning, mätning och indikering;
Byggdelar;62CN;Cables for bus systems;;Kablar för bussystem;
Byggdelar;62CP;Lift cables;;Hisskorgskablar;
Byggdelar;62CQ;Suspension cables;;Hängkablar;
Byggdelar;62CR;Suspension cables;;Hängspiralkablar;
Byggdelar;62D;Splices, connectors, etc.;;Skarvar, förbindningsdon o d;
Byggdelar;62DB;Electrical connections;;Elektriska förbindningar;
Byggdelar;62DC;Splices;;Skarvar;
Byggdelar;62DE;Connections on railway rails;;Anslutningar på järnvägsräler;
Byggdelar;62DF;Cable terminations;;Kabelavslutningar;
Byggdelar;62DG;Telecommunication transmission connectors;;Överföringsdon i telesystem;
Byggdelar;62DH;Switchboards;;Kopplingsplintar;
Byggdelar;62DJ;Distribution boards;;Spridningsplintar;
Byggdelar;62DK;Interconnectors;;Sammankopplingsdon;
Byggdelar;62DL;Cross-connection panels;;Korskopplingspaneler;
Byggdelar;62DM;Cable connectors;;Kabelanslutningsdon;
Byggdelar;62DN;Main earthing rails;;Huvudjordningsskenor;
Byggdelar;62DP;Test clamps;;Provningsklämmor;
Byggdelar;62DQ;Plugs, sockets, etc.;;Stickproppar, skarvuttag o d;
Byggdelar;62E;Relays and protection, measuring and monitoring devices;;Reläer och skydd samt apparater för mätning och övervakning;
Byggdelar;62EB;Relays and relay protectors;;Reläer och reläskydd;
Byggdelar;62EBB;Auxiliary relays;;Hjälpreläer;
Byggdelar;62EBC;Signal relays;;Signalreläer;
Byggdelar;62EBD;Time relays;;Tidreläer;
Byggdelar;62EBE;Current-measuring and voltage-measuring relays;;Strömmätande och spänningsmätande reläer;
Byggdelar;62EBF;Product relays, ratio relays and frequency relays;;Produktreläer, kvotreläer och frekvensreläer;
Byggdelar;62EBG;Impedance relays;;Impedansreläer;
Byggdelar;62EBH;Overcurrent protection;;Överströmsskydd;
Byggdelar;62EBJ;Earth leakage protection;;Jordfelsskydd;
Byggdelar;62EBK;Voltage protection;;Spänningsskydd;
Byggdelar;62EBL;Differential protection;;Differentialskydd;
Byggdelar;62EBM;Power metering protection;;Effektmätande skydd;
Byggdelar;62EBN;Frequency measuring protection;;Frekvensmätande skydd;
Byggdelar;62EBP;Impedance measuring protection;;Impedansmätande skydd;
Byggdelar;62EC;Fuses and miniature circuit breakers;;Säkringar och dvärgbrytare;
Byggdelar;62ECB;Fuses;;Säkringar;
Byggdelar;62ECC;Miniature switches;;Dvärgbrytare;
Byggdelar;62ECD;Fine-wire fuses;;Finsäkringar;
Byggdelar;62ED;Earth leakage switches;;Jordfelsbrytare;
Byggdelar;62EE;Surge arresters etc.;;Överspänningsledare o d;
Byggdelar;62EEB;Valve conductors;;Ventilavledare;
Byggdelar;62EEC;Varistor-type surge arrester;;Överspänningsavledare av varistortyp;
Byggdelar;62EED;Spark gaps;;Gnistgap;
Byggdelar;62EEE;Gas discharge tube overvoltage arresters;;Överspänningsskydd med gasurladdningsrör;
Byggdelar;62EEF;Surge protectors;;Överspänningsskydd;
Byggdelar;62EF;Measuring instruments and meters for electrical quantities;;Mätinstrument och mätare för elektriska storheter;
Byggdelar;62EFB;Measuring instruments for electrical quantities;;Mätinstrument för elektriska storheter;
Byggdelar;62EFC;Electricity meters;;Elmätare;
Byggdelar;62EG;Alarm and monitoring devices;;Larm- och övervakningsapparater;
Byggdelar;62EGB;Electrical or telecommunication system operation display;;Driftpresentationsapparater i el- eller telesystem;
Byggdelar;62EGC;Operational alarm systems;;Driftlarmcentraler;
Byggdelar;62EGD;Alarm receivers;;Larmmottagare;
Byggdelar;62EGE;Fault signal centres;;Felsignalcentraler;
Byggdelar;62EGF;Signalling devices in electrical or telecommunications systems;;Signaldon i el- eller telesystem;
Byggdelar;62EGG;Monitoring devices;;Övervakningsapparater;
Byggdelar;62EGH;Programming units for surveillance apparatus;;Programmeringsenheter för övervakningsapparater;
Byggdelar;62EH;Guards;;Vakter;
Byggdelar;62EJ;Time-of-use meters and counters;;Drifttidsmätare och räknare;
Byggdelar;62EJB;Operating time meters;;Drifttidsmätare;
Byggdelar;62EJC;Counters;;Räknare;
Byggdelar;62F;Computers, peripherals, software, etc.;;Datorer, kringutrustning, programvaror m m;
Byggdelar;62G;System components, software, etc. of bus systems;;Systemkomponenter, program m m i bussystem;
Byggdelar;62H;Electrical power generation equipment;;Utrustning för elenergiproduktion;
Byggdelar;62J;Devices and equipment for storage, transformation, phase compensation, rectification, etc.;;Apparater och utrustningar för lagring, transformering, faskompensering, omriktning m m;
Byggdelar;62JB;Batteries;;Batterier;
Byggdelar;62JC;Transformers;;Transformatorer;
Byggdelar;62JCB;Power transformers;;Krafttransformatorer;
Byggdelar;62JCB1;Auxiliary power transformers;;Hjälpkrafttransformator;
Byggdelar;62JCB2;Train heat transformer;;Tågvärmetransformator;
Byggdelar;62JCB3;Locomotive heat transformer;;Lokvärmetransformator;
Byggdelar;62JCC;Isolating transformers;;Isolertransformatorer;
Byggdelar;62JCD;Protection transformers;;Skyddstransformatorer;
Byggdelar;62JCE;Isolating transformers;;Skiljetransformatorer;
Byggdelar;62JCF;Measuring transformers;;Mättransformatorer;
Byggdelar;62JCG;Rotary transformers;;Vridtransformatorer;
Byggdelar;62JCH;Interference protection transformers;;Störskyddstransformatorer;
Byggdelar;62JCJ;Suction transformers;;Sugtranformatorer;
Byggdelar;62JCK;Autotransformers;;Autotransformatorer;
Byggdelar;62JCL;Alternating heat transformer;;Växelvärmetransformator;
Byggdelar;62JD;Power supply units;;Strömförsörjningsaggregat;
Byggdelar;62JE;Capacitor equipment;;Kondensatorutrustningar;
Byggdelar;62JF;Inverters;;Omriktare;
Byggdelar;62JFB;Rectifiers for battery operation;;Likriktare för samdrift med batterier;
Byggdelar;62JFC;Rectifiers for direct operation;;Likriktare för direktdrift;
Byggdelar;62JFD;Inverters;;Växelriktare;
Byggdelar;62JFE;Frequency inverters;;Frekvensomriktare;
Byggdelar;62JFF;Power converters;;Strömriktare;
Byggdelar;62JG;Reactors, etc.;;Reaktorer m m;
Byggdelar;62JH;Voltage stabilizers;;Spänningsstabilisatorer;
Byggdelar;62JK;Harmonic filter;;Övertonsfilter;
